Agency,Agency Type,Distribution Channel,Product Name,Duration,Destination,Net Sales,Commision (in value),Age,Claim
EPX,Travel Agency,Online,Cancellation Plan,51,SINGAPORE,61.0,0.0,36,0
C2B,Airlines,Online,Bronze Plan,22,SINGAPORE,20.0,5.0,73,0
EPX,Travel Agency,Online,Cancellation Plan,8,THAILAND,22.0,0.0,45,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,50,JAPAN,39.6,23.76,57,0
EPX,Travel Agency,Online,Cancellation Plan,9,Other_Destination,26.0,0.0,36,0
EPX,Travel Agency,Online,Cancellation Plan,15,SINGAPORE,29.0,0.0,36,0
EPX,Travel Agency,Online,Other_Product,2,SINGAPORE,20.0,0.0,35,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,63,THAILAND,27.0,0.0,36,0
JZI,Airlines,Online,Basic Plan,15,CHINA,26.0,9.1,67,0
C2B,Airlines,Online,Annual Silver Plan,376,SINGAPORE,252.85,63.21,43,1
JZI,Airlines,Online,Basic Plan,12,VIET NAM,30.0,10.5,35,1
C2B,Airlines,Online,Bronze Plan,30,SINGAPORE,16.0,4.0,58,1
EPX,Travel Agency,Online,2 way Comprehensive Plan,156,JAPAN,26.0,0.0,36,1
C2B,Airlines,Online,Bronze Plan,11,SINGAPORE,17.0,4.25,52,1
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,14,MALAYSIA,19.8,11.88,25,1
C2B,Airlines,Online,Silver Plan,13,SINGAPORE,76.3,19.07,35,1
C2B,Airlines,Online,Bronze Plan,58,SINGAPORE,62.0,15.5,23,1
C2B,Airlines,Online,Silver Plan,19,SINGAPORE,22.5,5.63,22,1
JZI,Airlines,Online,Other_Product,9,AUSTRALIA,45.0,15.75,45,1
C2B,Airlines,Online,Bronze Plan,40,SINGAPORE,72.5,18.13,26,1
EPX,Travel Agency,Online,Cancellation Plan,8,INDONESIA,12.0,0.0,45,1
C2B,Airlines,Online,Silver Plan,11,SINGAPORE,39.0,9.75,24,1
TST,Travel Agency,Offline,Other_Product,31,MALAYSIA,30.0,10.5,14,1
C2B,Airlines,Online,Silver Plan,66,SINGAPORE,72.0,18.0,34,1
C2B,Airlines,Online,Other_Product,20,SINGAPORE,60.0,15.0,75,1
EPX,Travel Agency,Online,2 way Comprehensive Plan,80,UNITED KINGDOM,62.0,0.0,36,1
EPX,Travel Agency,Online,2 way Comprehensive Plan,50,UNITED STATES,112.0,0.0,30,1
EPX,Travel Agency,Online,2 way Comprehensive Plan,21,CHINA,35.0,0.0,36,1
C2B,Airlines,Online,Annual Silver Plan,364,SINGAPORE,216.0,54.0,42,1
EPX,Travel Agency,Online,Cancellation Plan,32,VIET NAM,12.0,0.0,35,1
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,58,ITALY,69.3,41.58,31,1
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,11,AUSTRALIA,39.6,23.76,30,1
SSI,Airlines,Online,Other_Product,40,SINGAPORE,6.69,1.88,48,1
C2B,Airlines,Online,Bronze Plan,18,SINGAPORE,34.5,8.63,30,1
C2B,Airlines,Online,Bronze Plan,20,SINGAPORE,23.0,5.75,30,1
EPX,Travel Agency,Online,2 way Comprehensive Plan,95,PHILIPPINES,23.0,0.0,36,1
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,55,Other_Destination,69.3,41.58,30,1
C2B,Airlines,Online,Bronze Plan,5,SINGAPORE,16.0,4.0,26,1
C2B,Airlines,Online,Silver Plan,20,SINGAPORE,81.5,20.38,45,1
C2B,Airlines,Online,Bronze Plan,16,SINGAPORE,47.0,11.75,22,1
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,8,MALAYSIA,49.5,29.7,38,1
EPX,Travel Agency,Online,Cancellation Plan,38,THAILAND,13.0,0.0,30,1
C2B,Airlines,Online,Silver Plan,53,SINGAPORE,63.5,15.88,36,1
C2B,Airlines,Online,Bronze Plan,6,SINGAPORE,23.5,5.88,39,1
EPX,Travel Agency,Online,2 way Comprehensive Plan,80,PHILIPPINES,41.0,0.0,36,1
EPX,Travel Agency,Online,2 way Comprehensive Plan,6,CHINA,73.0,0.0,36,1
EPX,Travel Agency,Online,2 way Comprehensive Plan,48,Other_Destination,21.0,0.0,36,1
C2B,Airlines,Online,Bronze Plan,5,SINGAPORE,16.0,4.0,29,1
C2B,Airlines,Online,Annual Silver Plan,366,SINGAPORE,252.85,63.21,22,1
EPX,Travel Agency,Online,2 way Comprehensive Plan,37,Other_Destination,112.0,0.0,36,1
C2B,Airlines,Online,Silver Plan,52,SINGAPORE,63.5,15.88,35,1
C2B,Airlines,Online,Bronze Plan,15,SINGAPORE,29.9,7.47,26,1
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,13,UNITED KINGDOM,99.0,59.4,56,1
EPX,Travel Agency,Online,2 way Comprehensive Plan,29,THAILAND,35.0,0.0,36,1
C2B,Airlines,Online,Silver Plan,16,SINGAPORE,74.25,18.56,27,1
C2B,Airlines,Online,Annual Silver Plan,365,SINGAPORE,252.85,63.21,39,1
C2B,Airlines,Online,Silver Plan,34,SINGAPORE,112.5,28.13,28,1
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,118,Other_Destination,69.3,41.58,50,1
EPX,Travel Agency,Online,2 way Comprehensive Plan,113,Other_Destination,110.0,0.0,36,1
TST,Travel Agency,Offline,Other_Product,17,MALAYSIA,30.0,10.5,58,1
C2B,Airlines,Online,Annual Silver Plan,380,SINGAPORE,161.0,40.25,27,1
C2B,Airlines,Online,Bronze Plan,29,SINGAPORE,18.0,4.5,35,1
EPX,Travel Agency,Online,2 way Comprehensive Plan,27,VIET NAM,33.0,0.0,36,1
C2B,Airlines,Online,Bronze Plan,11,SINGAPORE,27.0,6.75,37,1
C2B,Airlines,Online,Silver Plan,6,SINGAPORE,22.5,5.63,56,1
JZI,Airlines,Online,Other_Product,105,"KOREA, REPUBLIC OF",45.0,15.75,19,1
C2B,Airlines,Online,Silver Plan,8,SINGAPORE,37.0,9.25,28,1
C2B,Airlines,Online,Annual Silver Plan,365,SINGAPORE,187.85,46.96,46,1
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,85,Other_Destination,59.4,35.64,61,1
EPX,Travel Agency,Online,2 way Comprehensive Plan,11,"KOREA, REPUBLIC OF",69.0,0.0,36,1
C2B,Airlines,Online,Bronze Plan,12,SINGAPORE,21.0,5.25,28,1
EPX,Travel Agency,Online,Cancellation Plan,28,SINGAPORE,10.0,0.0,32,1
C2B,Airlines,Online,Silver Plan,51,SINGAPORE,100.5,25.13,25,1
C2B,Airlines,Online,Annual Silver Plan,396,SINGAPORE,259.2,64.8,57,1
C2B,Airlines,Online,Bronze Plan,2,SINGAPORE,27.0,6.75,22,1
LWC,Travel Agency,Online,Other_Product,147,JAPAN,63.0,40.95,31,1
C2B,Airlines,Online,Silver Plan,5,SINGAPORE,18.5,4.63,65,1
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,6,THAILAND,39.6,23.76,31,1
C2B,Airlines,Online,Silver Plan,13,SINGAPORE,54.5,13.63,32,1
C2B,Airlines,Online,Silver Plan,29,SINGAPORE,48.5,12.13,28,1
EPX,Travel Agency,Online,2 way Comprehensive Plan,26,"KOREA, REPUBLIC OF",50.0,0.0,36,1
C2B,Airlines,Online,Bronze Plan,7,SINGAPORE,23.5,5.88,52,1
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,26,Other_Destination,99.0,59.4,64,1
C2B,Airlines,Online,Bronze Plan,89,SINGAPORE,33.5,8.38,22,1
RAB,Airlines,Online,Other_Product,7,Other_Destination,15.0,6.0,69,1
C2B,Airlines,Online,Bronze Plan,50,SINGAPORE,72.0,18.0,33,1
C2B,Airlines,Online,Bronze Plan,2,SINGAPORE,13.5,3.38,37,1
C2B,Airlines,Online,Bronze Plan,21,SINGAPORE,47.0,11.75,41,1
C2B,Airlines,Online,Annual Silver Plan,365,SINGAPORE,216.0,54.0,33,1
JZI,Airlines,Online,Basic Plan,3,HONG KONG,22.0,7.7,59,1
JZI,Airlines,Online,Basic Plan,25,CHINA,35.0,12.25,50,1
EPX,Travel Agency,Online,2 way Comprehensive Plan,9,CHINA,87.0,0.0,36,1
C2B,Airlines,Online,Silver Plan,15,SINGAPORE,33.5,8.38,24,1
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,12,THAILAND,79.2,47.52,60,1
C2B,Airlines,Online,Silver Plan,6,SINGAPORE,29.0,7.25,34,1
C2B,Airlines,Online,Silver Plan,15,SINGAPORE,63.5,15.88,27,1
C2B,Airlines,Online,Annual Silver Plan,365,SINGAPORE,216.0,54.0,45,1
C2B,Airlines,Online,Bronze Plan,168,SINGAPORE,29.5,7.38,30,1
C2B,Airlines,Online,Bronze Plan,66,SINGAPORE,86.0,21.5,21,1
C2B,Airlines,Online,Bronze Plan,5,SINGAPORE,17.55,4.39,32,1
C2B,Airlines,Online,Bronze Plan,6,SINGAPORE,18.0,4.5,56,1
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,9,AUSTRALIA,69.3,41.58,34,1
JZI,Airlines,Online,Basic Plan,95,"KOREA, REPUBLIC OF",35.0,12.25,26,1
EPX,Travel Agency,Online,2 way Comprehensive Plan,30,UNITED KINGDOM,73.0,0.0,36,1
C2B,Airlines,Online,Annual Silver Plan,378,SINGAPORE,216.0,54.0,73,1
C2B,Airlines,Online,Bronze Plan,13,SINGAPORE,33.5,8.38,35,1
C2B,Airlines,Online,Annual Silver Plan,366,SINGAPORE,216.0,54.0,42,1
CCR,Travel Agency,Offline,Other_Product,4,MALAYSIA,29.0,9.57,25,1
C2B,Airlines,Online,Bronze Plan,39,SINGAPORE,30.55,7.64,34,1
C2B,Airlines,Online,Annual Silver Plan,368,SINGAPORE,187.85,46.96,27,1
C2B,Airlines,Online,Bronze Plan,6,SINGAPORE,18.0,4.5,27,1
C2B,Airlines,Online,Bronze Plan,32,SINGAPORE,33.5,8.38,57,1
C2B,Airlines,Online,Bronze Plan,3,SINGAPORE,13.5,3.38,37,1
C2B,Airlines,Online,Bronze Plan,79,SINGAPORE,178.0,44.5,29,1
C2B,Airlines,Online,Bronze Plan,17,SINGAPORE,26.5,6.63,28,1
C2B,Airlines,Online,Bronze Plan,38,SINGAPORE,60.0,15.0,34,1
EPX,Travel Agency,Online,2 way Comprehensive Plan,36,HONG KONG,68.0,0.0,36,1
C2B,Airlines,Online,Silver Plan,18,SINGAPORE,29.5,7.38,53,1
C2B,Airlines,Online,Bronze Plan,8,SINGAPORE,17.0,4.25,34,1
C2B,Airlines,Online,Bronze Plan,96,SINGAPORE,80.25,20.06,45,1
LWC,Travel Agency,Online,Other_Product,5,CHINA,42.0,27.3,46,1
C2B,Airlines,Online,Silver Plan,13,SINGAPORE,54.5,13.63,25,1
C2B,Airlines,Online,Bronze Plan,10,SINGAPORE,27.0,6.75,23,1
C2B,Airlines,Online,Other_Product,33,SINGAPORE,68.6,17.15,72,1
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,7,AUSTRALIA,39.6,23.76,31,1
C2B,Airlines,Online,Bronze Plan,71,SINGAPORE,33.5,8.38,28,1
C2B,Airlines,Online,Bronze Plan,36,SINGAPORE,40.0,10.0,33,1
EPX,Travel Agency,Online,2 way Comprehensive Plan,120,"KOREA, REPUBLIC OF",31.0,0.0,25,1
C2B,Airlines,Online,Bronze Plan,17,SINGAPORE,27.0,6.75,41,1
C2B,Airlines,Online,Annual Silver Plan,365,SINGAPORE,252.85,63.21,62,1
C2B,Airlines,Online,Annual Silver Plan,365,SINGAPORE,252.85,63.21,57,1
C2B,Airlines,Online,Bronze Plan,115,SINGAPORE,33.5,8.38,35,1
C2B,Airlines,Online,Annual Silver Plan,364,SINGAPORE,216.0,54.0,28,1
EPX,Travel Agency,Online,2 way Comprehensive Plan,62,AUSTRALIA,57.0,0.0,36,1
C2B,Airlines,Online,Annual Silver Plan,366,SINGAPORE,252.85,63.21,45,1
KML,Travel Agency,Offline,Other_Product,2,INDONESIA,29.0,11.02,35,1
C2B,Airlines,Online,Bronze Plan,6,SINGAPORE,13.5,3.38,60,1
C2B,Airlines,Online,Bronze Plan,13,SINGAPORE,47.0,11.75,38,1
C2B,Airlines,Online,Silver Plan,20,SINGAPORE,72.0,18.0,23,1
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,12,MALAYSIA,29.7,17.82,28,1
EPX,Travel Agency,Online,2 way Comprehensive Plan,47,Other_Destination,77.0,0.0,36,1
C2B,Airlines,Online,Silver Plan,11,SINGAPORE,39.0,9.75,31,1
EPX,Travel Agency,Online,2 way Comprehensive Plan,51,UNITED STATES,112.0,0.0,45,1
C2B,Airlines,Online,Annual Silver Plan,368,SINGAPORE,252.85,63.21,35,1
EPX,Travel Agency,Online,Cancellation Plan,224,Other_Destination,80.0,0.0,29,1
C2B,Airlines,Online,Silver Plan,10,SINGAPORE,50.0,12.5,50,1
EPX,Travel Agency,Online,2 way Comprehensive Plan,8,CHINA,69.0,0.0,36,1
C2B,Airlines,Online,Annual Silver Plan,377,SINGAPORE,216.0,54.0,44,1
EPX,Travel Agency,Online,2 way Comprehensive Plan,177,UNITED STATES,112.0,0.0,53,1
JZI,Airlines,Online,Basic Plan,71,Other_Destination,44.0,15.4,50,1
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,10,ITALY,99.0,59.4,35,1
C2B,Airlines,Online,Silver Plan,12,SINGAPORE,18.5,4.63,36,1
C2B,Airlines,Online,Bronze Plan,10,SINGAPORE,17.0,4.25,43,1
C2B,Airlines,Online,Bronze Plan,66,SINGAPORE,62.0,15.5,25,1
EPX,Travel Agency,Online,2 way Comprehensive Plan,12,CHINA,36.0,0.0,36,1
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,31,THAILAND,69.3,41.58,33,1
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,52,AUSTRALIA,79.2,47.52,31,1
C2B,Airlines,Online,Bronze Plan,55,SINGAPORE,53.5,13.38,67,1
C2B,Airlines,Online,Bronze Plan,7,SINGAPORE,20.0,5.0,30,1
EPX,Travel Agency,Online,2 way Comprehensive Plan,10,CHINA,39.0,0.0,36,1
EPX,Travel Agency,Online,2 way Comprehensive Plan,12,HONG KONG,29.0,0.0,36,1
EPX,Travel Agency,Online,2 way Comprehensive Plan,107,UNITED KINGDOM,88.0,0.0,36,1
C2B,Airlines,Online,Bronze Plan,8,SINGAPORE,30.55,7.64,30,1
C2B,Airlines,Online,Bronze Plan,12,SINGAPORE,40.0,10.0,31,1
C2B,Airlines,Online,Annual Silver Plan,375,SINGAPORE,187.85,46.96,38,1
C2B,Airlines,Online,Annual Silver Plan,398,SINGAPORE,280.8,70.2,26,1
C2B,Airlines,Online,Other_Product,14,SINGAPORE,76.5,19.13,51,1
EPX,Travel Agency,Online,2 way Comprehensive Plan,31,INDONESIA,29.0,0.0,36,1
C2B,Airlines,Online,Annual Silver Plan,368,SINGAPORE,216.0,54.0,58,1
C2B,Airlines,Online,Bronze Plan,6,SINGAPORE,21.0,5.25,30,1
C2B,Airlines,Online,Silver Plan,62,SINGAPORE,63.5,15.88,29,1
EPX,Travel Agency,Online,2 way Comprehensive Plan,31,Other_Destination,90.0,0.0,36,1
C2B,Airlines,Online,Annual Silver Plan,365,SINGAPORE,187.85,46.96,47,1
C2B,Airlines,Online,Annual Silver Plan,364,SINGAPORE,252.85,63.21,42,1
LWC,Travel Agency,Online,Other_Product,32,"KOREA, REPUBLIC OF",26.5,17.23,77,1
C2B,Airlines,Online,Annual Silver Plan,364,SINGAPORE,252.85,63.21,50,1
JZI,Airlines,Online,Basic Plan,42,"KOREA, REPUBLIC OF",40.0,14.0,28,1
C2B,Airlines,Online,Bronze Plan,8,SINGAPORE,23.5,5.88,25,1
EPX,Travel Agency,Online,2 way Comprehensive Plan,63,UNITED STATES,90.0,0.0,69,1
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,51,Other_Destination,79.2,47.52,58,1
C2B,Airlines,Online,Annual Silver Plan,366,SINGAPORE,216.0,54.0,51,1
EPX,Travel Agency,Online,Cancellation Plan,217,Other_Destination,66.0,0.0,36,1
C2B,Airlines,Online,Bronze Plan,3,SINGAPORE,19.2,4.8,24,1
EPX,Travel Agency,Online,Cancellation Plan,3,MALAYSIA,34.0,0.0,36,1
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,61,AUSTRALIA,49.5,29.7,31,1
C2B,Airlines,Online,Bronze Plan,11,SINGAPORE,29.5,7.38,33,1
C2B,Airlines,Online,Annual Silver Plan,364,SINGAPORE,252.85,63.21,31,1
C2B,Airlines,Online,Silver Plan,10,SINGAPORE,43.55,10.89,45,1
C2B,Airlines,Online,Bronze Plan,46,SINGAPORE,65.65,16.41,25,1
C2B,Airlines,Online,Bronze Plan,10,SINGAPORE,27.0,6.75,29,1
EPX,Travel Agency,Online,Cancellation Plan,6,Other_Destination,43.0,0.0,36,1
C2B,Airlines,Online,Silver Plan,14,SINGAPORE,62.0,15.5,26,1
EPX,Travel Agency,Online,Cancellation Plan,55,UNITED STATES,80.0,0.0,27,1
C2B,Airlines,Online,Bronze Plan,14,SINGAPORE,22.1,5.53,26,1
SSI,Airlines,Online,Other_Product,65,SINGAPORE,4.76,1.33,48,1
TTW,Travel Agency,Offline,Other_Product,366,SINGAPORE,86.0,0.0,38,1
C2B,Airlines,Online,Silver Plan,91,SINGAPORE,56.5,14.13,18,1
EPX,Travel Agency,Online,2 way Comprehensive Plan,66,PHILIPPINES,50.0,0.0,36,1
C2B,Airlines,Online,Bronze Plan,12,SINGAPORE,47.0,11.75,34,1
C2B,Airlines,Online,Other_Product,19,SINGAPORE,105.6,26.4,65,1
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,21,AUSTRALIA,49.5,29.7,47,1
C2B,Airlines,Online,Bronze Plan,16,SINGAPORE,48.3,12.07,46,1
C2B,Airlines,Online,Bronze Plan,18,SINGAPORE,33.5,8.38,31,1
C2B,Airlines,Online,Annual Silver Plan,367,SINGAPORE,252.85,63.21,31,1
C2B,Airlines,Online,Annual Silver Plan,367,SINGAPORE,291.75,72.94,31,1
C2B,Airlines,Online,Silver Plan,104,SINGAPORE,228.5,57.13,53,1
EPX,Travel Agency,Online,Cancellation Plan,22,SINGAPORE,29.0,0.0,36,1
C2B,Airlines,Online,Annual Silver Plan,374,SINGAPORE,193.2,48.3,31,1
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,46,AUSTRALIA,59.4,35.64,31,1
C2B,Airlines,Online,Silver Plan,10,SINGAPORE,41.0,10.25,26,1
C2B,Airlines,Online,Silver Plan,88,SINGAPORE,54.5,13.63,60,1
C2B,Airlines,Online,Silver Plan,20,SINGAPORE,63.5,15.88,31,1
C2B,Airlines,Online,Silver Plan,46,SINGAPORE,95.0,23.75,24,1
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,8,AUSTRALIA,29.7,17.82,57,1
C2B,Airlines,Online,Bronze Plan,33,SINGAPORE,35.25,8.81,20,1
C2B,Airlines,Online,Silver Plan,11,SINGAPORE,29.5,7.38,30,1
EPX,Travel Agency,Online,2 way Comprehensive Plan,74,Other_Destination,112.0,0.0,36,1
EPX,Travel Agency,Online,2 way Comprehensive Plan,66,CHINA,35.0,0.0,36,1
C2B,Airlines,Online,Annual Silver Plan,366,SINGAPORE,216.0,54.0,32,1
C2B,Airlines,Online,Silver Plan,43,SINGAPORE,63.5,15.88,31,1
C2B,Airlines,Online,Bronze Plan,54,SINGAPORE,33.5,8.38,26,1
EPX,Travel Agency,Online,2 way Comprehensive Plan,15,THAILAND,21.0,0.0,36,1
C2B,Airlines,Online,Annual Silver Plan,365,SINGAPORE,252.85,63.21,30,1
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,18,AUSTRALIA,69.3,41.58,32,1
EPX,Travel Agency,Online,Other_Product,35,UNITED STATES,41.0,0.0,36,1
C2B,Airlines,Online,Bronze Plan,10,SINGAPORE,27.0,6.75,26,1
C2B,Airlines,Online,Silver Plan,40,SINGAPORE,63.5,15.88,27,1
EPX,Travel Agency,Online,Cancellation Plan,146,UNITED STATES,50.0,0.0,35,1
C2B,Airlines,Online,Bronze Plan,64,SINGAPORE,71.0,17.75,33,1
C2B,Airlines,Online,Silver Plan,7,SINGAPORE,25.0,6.25,27,1
C2B,Airlines,Online,Silver Plan,59,SINGAPORE,137.5,34.38,59,1
C2B,Airlines,Online,Silver Plan,15,SINGAPORE,62.0,15.5,26,1
C2B,Airlines,Online,Silver Plan,77,SINGAPORE,63.5,15.88,43,1
C2B,Airlines,Online,Silver Plan,11,SINGAPORE,62.25,15.56,33,1
JZI,Airlines,Online,Basic Plan,14,HONG KONG,26.0,9.1,36,1
C2B,Airlines,Online,Other_Product,5,SINGAPORE,27.5,6.88,26,1
C2B,Airlines,Online,Bronze Plan,39,SINGAPORE,80.5,20.13,40,1
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,10,MALAYSIA,49.5,29.7,31,1
LWC,Travel Agency,Online,Other_Product,12,UNITED STATES,67.0,43.55,39,1
C2B,Airlines,Online,Annual Silver Plan,365,SINGAPORE,161.0,40.25,45,1
EPX,Travel Agency,Online,2 way Comprehensive Plan,216,ITALY,20.0,0.0,36,1
C2B,Airlines,Online,Bronze Plan,21,SINGAPORE,53.0,13.25,28,1
C2B,Airlines,Online,Bronze Plan,14,SINGAPORE,23.4,5.85,69,1
C2B,Airlines,Online,Annual Silver Plan,369,SINGAPORE,252.85,63.21,52,1
C2B,Airlines,Online,Bronze Plan,25,SINGAPORE,67.0,16.75,31,1
C2B,Airlines,Online,Annual Silver Plan,419,SINGAPORE,252.85,63.21,44,1
C2B,Airlines,Online,Annual Silver Plan,364,SINGAPORE,216.0,54.0,40,1
C2B,Airlines,Online,Bronze Plan,6,SINGAPORE,16.0,4.0,40,1
C2B,Airlines,Online,Bronze Plan,30,SINGAPORE,69.5,17.38,50,1
CBH,Travel Agency,Offline,Other_Product,102,THAILAND,29.0,9.57,29,1
EPX,Travel Agency,Online,2 way Comprehensive Plan,38,INDONESIA,20.0,0.0,36,1
EPX,Travel Agency,Online,Cancellation Plan,14,Other_Destination,24.0,0.0,36,1
C2B,Airlines,Online,Annual Silver Plan,413,SINGAPORE,252.85,63.21,31,1
EPX,Travel Agency,Online,2 way Comprehensive Plan,8,MALAYSIA,23.0,0.0,20,1
C2B,Airlines,Online,Annual Silver Plan,394,SINGAPORE,187.85,46.96,55,1
C2B,Airlines,Online,Bronze Plan,8,SINGAPORE,17.0,4.25,30,1
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,19,THAILAND,39.6,23.76,50,1
C2B,Airlines,Online,Other_Product,9,SINGAPORE,36.5,9.13,22,1
KML,Travel Agency,Online,Other_Product,68,Other_Destination,95.0,36.1,48,1
C2B,Airlines,Online,Bronze Plan,27,SINGAPORE,60.0,15.0,30,1
C2B,Airlines,Online,Bronze Plan,9,SINGAPORE,20.0,5.0,46,1
C2B,Airlines,Online,Annual Silver Plan,369,SINGAPORE,252.85,63.21,28,1
C2B,Airlines,Online,Bronze Plan,103,SINGAPORE,72.0,18.0,35,1
EPX,Travel Agency,Online,2 way Comprehensive Plan,20,"KOREA, REPUBLIC OF",46.0,0.0,36,1
LWC,Travel Agency,Online,Other_Product,5,VIET NAM,25.0,16.25,30,1
C2B,Airlines,Online,Silver Plan,21,SINGAPORE,72.0,18.0,47,1
C2B,Airlines,Online,Annual Silver Plan,365,SINGAPORE,187.85,46.96,26,1
C2B,Airlines,Online,Silver Plan,17,SINGAPORE,42.0,10.5,20,1
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,24,MALAYSIA,39.6,23.76,31,1
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,86,AUSTRALIA,108.9,65.34,31,1
LWC,Travel Agency,Online,Other_Product,29,UNITED KINGDOM,47.0,30.55,38,1
C2B,Airlines,Online,Annual Silver Plan,367,SINGAPORE,252.85,63.21,47,1
C2B,Airlines,Online,Bronze Plan,20,SINGAPORE,16.0,4.0,32,1
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,24,AUSTRALIA,59.4,35.64,30,1
C2B,Airlines,Online,Annual Silver Plan,376,SINGAPORE,252.85,63.21,34,1
EPX,Travel Agency,Online,2 way Comprehensive Plan,63,THAILAND,23.0,0.0,36,1
C2B,Airlines,Online,Silver Plan,32,SINGAPORE,88.5,22.13,24,1
LWC,Travel Agency,Online,Other_Product,107,JAPAN,25.0,16.25,36,1
EPX,Travel Agency,Online,2 way Comprehensive Plan,12,CHINA,32.0,0.0,36,1
C2B,Airlines,Online,Annual Silver Plan,366,SINGAPORE,216.0,54.0,37,1
EPX,Travel Agency,Online,2 way Comprehensive Plan,20,CHINA,66.0,0.0,36,1
C2B,Airlines,Online,Bronze Plan,4,SINGAPORE,16.0,4.0,26,1
EPX,Travel Agency,Online,2 way Comprehensive Plan,57,UNITED STATES,99.0,0.0,69,1
C2B,Airlines,Online,Annual Silver Plan,367,SINGAPORE,216.0,54.0,46,1
C2B,Airlines,Online,Bronze Plan,40,SINGAPORE,99.0,24.75,46,1
C2B,Airlines,Online,Silver Plan,39,SINGAPORE,22.5,5.63,30,1
EPX,Travel Agency,Online,2 way Comprehensive Plan,95,CHINA,20.0,0.0,36,1
C2B,Airlines,Online,Annual Silver Plan,372,SINGAPORE,216.0,54.0,33,1
C2B,Airlines,Online,Annual Silver Plan,368,SINGAPORE,216.0,54.0,25,1
JZI,Airlines,Online,Basic Plan,88,Other_Destination,61.0,21.35,40,1
C2B,Airlines,Online,Bronze Plan,7,SINGAPORE,19.2,4.8,26,1
C2B,Airlines,Online,Silver Plan,15,SINGAPORE,42.0,10.5,26,1
C2B,Airlines,Online,Bronze Plan,12,SINGAPORE,23.0,5.75,27,1
C2B,Airlines,Online,Annual Silver Plan,397,SINGAPORE,291.75,72.94,35,1
C2B,Airlines,Online,Silver Plan,15,SINGAPORE,48.5,12.13,34,1
C2B,Airlines,Online,Annual Silver Plan,369,SINGAPORE,216.0,54.0,36,1
C2B,Airlines,Online,Bronze Plan,9,SINGAPORE,17.0,4.25,29,1
EPX,Travel Agency,Online,2 way Comprehensive Plan,36,Other_Destination,112.0,0.0,36,1
C2B,Airlines,Online,Silver Plan,110,SINGAPORE,271.0,67.75,35,1
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,28,AUSTRALIA,79.2,47.52,36,1
EPX,Travel Agency,Online,2 way Comprehensive Plan,42,"KOREA, REPUBLIC OF",44.0,0.0,36,1
C2B,Airlines,Online,Silver Plan,17,SINGAPORE,33.5,8.38,31,1
EPX,Travel Agency,Online,2 way Comprehensive Plan,201,Other_Destination,37.0,0.0,36,1
EPX,Travel Agency,Online,Cancellation Plan,10,THAILAND,44.0,0.0,36,1
C2B,Airlines,Online,Bronze Plan,21,SINGAPORE,24.0,6.0,50,1
C2B,Airlines,Online,Silver Plan,17,SINGAPORE,48.5,12.13,56,1
C2B,Airlines,Online,Bronze Plan,12,SINGAPORE,94.0,23.5,34,1
EPX,Travel Agency,Online,Cancellation Plan,74,HONG KONG,16.0,0.0,36,1
EPX,Travel Agency,Online,Cancellation Plan,73,THAILAND,16.0,0.0,36,1
C2B,Airlines,Online,Bronze Plan,6,SINGAPORE,13.5,3.38,26,1
C2B,Airlines,Online,Silver Plan,3,SINGAPORE,15.0,3.75,44,1
C2B,Airlines,Online,Bronze Plan,115,SINGAPORE,33.5,8.38,40,1
C2B,Airlines,Online,Silver Plan,14,SINGAPORE,47.5,11.88,22,1
C2B,Airlines,Online,Other_Product,27,SINGAPORE,69.0,17.25,33,1
C2B,Airlines,Online,Silver Plan,73,SINGAPORE,62.0,15.5,29,1
